Name,Price,URL,ImgURL,CPU,Ram,Ram_slot,Storage,Graphics,Display,Battery,Wireless,Weight,Size,Color,OS
Laptop Asus Vivobook Flip TN3402QA-LZ019W,18690000,https://www.phucanh.vn//laptop-asus-vivobook-flip-tn3402qa-lz019w.html,https://phucanhcdn.com/media/product/250_48585_laptop_asus_vivobook_flip_tn3402qa_11.jpg,AMD Ryzen 5 5600H 3.3 GHz,8Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch WUXGA Touch,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,5 Kg","14.0inch WUXGA Touch,327 x 225 x 17.5-17.6 mm",Black,Windows 11 Home
Laptop Asus Gaming ROG Strix G513RC-HN090W,29990000,https://www.phucanh.vn//laptop-asus-gaming-rog-strix-g15-g513rc-hn090w.html,https://phucanhcdn.com/media/product/250_48583_asus_gaming_rog_strix_g15_g513_a1.gif,AMD Ryzen 7 6800H 3.2 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,15.6inch Full HD,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.1 (Dual band) 2*2,"2,1 Kg","15.6inch Full HD,354 x 259 x 20.7-26 mm",Grey,Windows 11 Home
Laptop LG Gram 17ZD90Q-G.AX73A5,42990000,https://www.phucanh.vn//laptop-lg-gram-17zd90q-g.ax73a5.html,https://phucanhcdn.com/media/product/250_48466_lg_gram_17zd90q__grey_a3.gif,Core i7 Alder Lake 1260P 2.1 GHz,16Gb DDR5 4800,Không hỗ trợ,256GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 17 inch,Battery,802.11ax + Bluetooth 5.1,"1,35 Kg","Khoảng 17 inch,358 x 235 x 17.5 mm",Grey,NoOS
Laptop LG Gram 17ZD90Q-G.AX52A5,39990000,https://www.phucanh.vn//laptop-lg-gram-17zd90q-g.ax52a5.html,https://phucanhcdn.com/media/product/250_48465_lg_gram_17z90q_g_ah78a5__black_a1.gif,Core i5 Alder Lake 1240P 3.3 GHz,16Gb DDR5 4800,Không hỗ trợ,256GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 17 inch,Battery,802.11ax + Bluetooth 5.1,"1,35 Kg","Khoảng 17 inch,358 x 235 x 17.5 mm",Black,NoOS
Laptop LG Gram 17Z90Q-G.AH78A5,50990000,https://www.phucanh.vn//laptop-lg-gram-17z90q-g.ah78a5.html,https://phucanhcdn.com/media/product/250_48464_lg_gram_17z90q_g_ah78a5__black_a1.gif,Core i7 Alder Lake 1260P 2.1 GHz,16Gb DDR5 4800,Không hỗ trợ,1TB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 17 inch,Battery,802.11ax + Bluetooth 5.1,"1,35 Kg","Khoảng 17 inch,358 x 235 x 17.5 mm",Black,Windows 11 Home
Laptop LG Gram 16ZD90Q-G.AX72A5,40990000,https://www.phucanh.vn//laptop-lg-gram-16zd90q-g.ax72a5.html,https://phucanhcdn.com/media/product/250_48461_lg_gram_16z90q_g_ah52a5_black_a5.gif,Core i7 Alder Lake 1260P 2.1 GHz,16Gb DDR5 4800,Không hỗ trợ,256GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,802.11ax + Bluetooth 5.1,"1,19 Kg","Khoảng 16 inch,358 x 235 x 17.5 mm",Black,Windows 11 Home
Laptop LG Gram 16ZD90Q-G.AX51A5,36990000,https://www.phucanh.vn//laptop-lg-gram-16zd90q-g.ax51a5-white.html,https://phucanhcdn.com/media/product/250_48457_lg_gram_16z90q_g_ah54a5_white_a6.gif,Core i5 Alder Lake 1240P 3.3 GHz,16Gb DDR5 4800,Không hỗ trợ,256GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,802.11ax + Bluetooth 5.1,"1,19 Kg","Khoảng 16 inch,358 x 235 x 17.5 mm",White,NoOS
Laptop LG Gram 16Z90Q-G.AH78A5,48990000,https://www.phucanh.vn//laptop-lg-gram-16z90q-g.ah78a5.html,https://phucanhcdn.com/media/product/250_48455_lg_gram_16z90q_g_ah52a5_black_a5.gif,Core i7 Alder Lake 1260P 2.1 GHz,16Gb DDR5 4800,Không hỗ trợ,1TB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,802.11ax + Bluetooth 5.1,"1,19 Kg","Khoảng 16 inch,358 x 235 x 17.5 mm",Black,Windows 11 Home
Laptop LG Gram 16Z90Q-G.AH52A5,41990000,https://www.phucanh.vn//laptop-lg-gram-16z90q-g.ah52a5.html,https://phucanhcdn.com/media/product/250_48452_lg_gram_16z90q_g_ah52a5_black_a5.gif,Core i5 Alder Lake 1240P 3.3 GHz,16Gb DDR5 4800,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,802.11ax + Bluetooth 5.1,"1,19 Kg","Khoảng 16 inch,358 x 235 x 17.5 mm",Black,Windows 11 Home
Laptop HP 15s fq5144TU 7C0R8PA,22890000,https://www.phucanh.vn//laptop-hp-15s-fq5144tu-7c0r8pa.html,https://phucanhcdn.com/media/product/250_50228_laptop_hp_15s_fq5144tu_7c0r8pa_5.jpg,Core i7 Alder Lake 1255U 3.5 GHz,16Gb (2x8Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo,"1,69","15.6inch Full HD,35.85 x 24.2 x 1.79 cm",Bạc,Windows 11 Home
Laptop HP Gaming Victus 16-d1191TX 7C0S5PA,29890000,https://www.phucanh.vn//laptop-hp-gaming-victus-16-d1191tx-7c0s5pa.html,https://phucanhcdn.com/media/product/250_49830_laptop_hp_gaming_victus_16_blue_a1.jpg,Core i5 Alder Lake 12500H 2.5 GHz,16Gb (2x8Gb) DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050Ti 4Gb GDDR6,Khoảng 16 inch,Battery,Intel Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,"2,46 Kg","Khoảng 16 inch,35.79 x 25.5 x 2.35 cm",Blue,Windows 11 Home
Laptop Asus ExpertBook B5302FEA-LG1013W,23990000,https://www.phucanh.vn//laptop-asus-expertbook-b5302fea-lg1013w.html,https://phucanhcdn.com/media/product/250_49166_46019_expertbook_b5302f_ha2.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 13 inch,Battery,Wi-Fi 6(802.11ax)+BT5.0 (Dual band) 2*2,"1,2 Kg","Khoảng 13 inch,32.34 x 22.31 x 1.79 ~ 1.80 cm",Black,Windows 11 Home
Laptop Dell XPS 13 9320 70295789,49990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-xps-13-9320-70295789.html,https://phucanhcdn.com/media/product/250_49134_48891_laptop_dell_xps_13_9320_intel_gen_12_silver_a5.gif,Core i5 Alder Lake 1240P 3.3 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2230,Intel Iris Xe Graphics,Khoảng 13 inch,Battery,Intel KillerTM Wi-Fi 6E 1675 (AX211) 2x2 + Bluetooth 5.2 Wireless Card,"1,2 Kg","Khoảng 13 inch,295 x 199 x 15.2 mm",Silver,Windows 11 Home + Office Student
