Product,Price,Image,Link,CPU,Ram,Storage,Graphics,Screen,Status,Weight,Battery,Brand
Dell Latitude E6540,5900000,https://techcare.vn/wp-content/uploads/2020/02/dell-latitude-e6540-4-300x300.png,https://techcare.vn/san-pham/laptop-dell-latitude-e6540-core-i5-4300m-amd-radeon-hd-8790/,Core i5-4200M,4GB,SSD 120GB,Intel Graphics 4600,15.6 inch HD,99%,2.4 kg,,DELL
Surface Pro 6,18900000,https://techcare.vn/wp-content/uploads/2022/07/surface-pro-6-8-300x300.jpg,https://techcare.vn/san-pham/surface-pro-6/,Core i7-8650U,16GB,SSD 1TB,Intel HD Graphics 520,12.3 inch 2K+,99%,786g,9 giờ,MICROSOFT
Dell G3 3590,13500000,https://techcare.vn/wp-content/uploads/2019/04/dell-g3-3590-1-1-300x300.png,https://techcare.vn/san-pham/dell-g3-3590-core-i5/,Core i5-9300H,8GB,SSD 256GB,Nvidia GeForce GTX 1050 2GB,15.6 inch Full HD,99%,,3 Cells 51 Whr,DELL
Dell G7 7591,18800000,https://techcare.vn/wp-content/uploads/2019/06/dell-g7-7591-300x300.jpg,https://techcare.vn/san-pham/dell-g7-7591/,Core i5-9300H,8GB,SSD 512GB,Nvidia GeForce GTX 1050 2GB,15.6 inch Full HD,99%,,3 Cell,DELL
Dell G7 7588,17900000,https://techcare.vn/wp-content/uploads/2020/02/dell-g7-7588-300x300.png,https://techcare.vn/san-pham/dell-g7-7588-core-i5/,Core i5-8300H,8GB,HDD 1TB + SSD 128GB,Nvidia Geforce GTX 1050Ti 4GB,15.6 inch Full HD,99%,,4 Cell 56WHr,DELL
Dell Precision 7520,10300000,https://techcare.vn/wp-content/uploads/2018/04/dell-precision-7520-300x300.png,https://techcare.vn/san-pham/dell-precision-7520-i7/,Core i7-6820HQ,8GB,SSD 256GB,Nvidia Quadro M1200,15.6 inch Full HD,99%,,6 Cell,DELL
HP Pavilion 15,17700000,https://techcare.vn/wp-content/uploads/2019/04/hp-15-cx0177tx-300x300.png,https://techcare.vn/san-pham/pavilion-gaming-15-cx0177tx-i5/,Core i5-9300H,8GB,SSD 256GB,Nvidia GeForce GTX 1050 2GB,15.6 inch Full HD,99%,,3 cell; 52 Wh; Pin liền,HP
Dell Precision M5530,14400000,https://techcare.vn/wp-content/uploads/2021/02/dell-precision-5530-14-300x300.jpg,https://techcare.vn/san-pham/dell-precision-m5530/,Core i7-8850H,16GB,SSD 512GB,Nvidia Quadro P1000 4GB,15.6 inch Full HD,99%,,6 Cells,DELL
Dell Precision M7720,14900000,https://techcare.vn/wp-content/uploads/2021/06/dell-precision-7720-10-300x300.png,https://techcare.vn/san-pham/dell-precision-m7720/,Core i7-7820HQ,16GB,SSD 256GB,NVIDIA Quadro P3000,17.3 inch Full HD,99%,,91WHr,DELL
Dell inspiron 7567,17400000,https://techcare.vn/wp-content/uploads/2018/07/dell-inspiron-7567-300x300.png,https://techcare.vn/san-pham/dell-inspiron-7567-i7/,Core i7-7700HQ,8GB,HDD 1TB + SSD 120GB,Nvidia GeForce GTX 1050 2GB,15.6 inch Full HD,99%,2.57 kg,6-Cell 74 WHr,DELL
Lenovo ThinkPad W541,13900000,https://techcare.vn/wp-content/uploads/2019/07/lenovo-thinkpad-w541-1-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-w541/,Core i7-4800MQ,8GB,SSD 256GB,Nvidia Quadro K1100M,15.6 inch Full HD,99%,2.5 kg,9-cell,LENOVO
Dell g3 3579,11900000,https://techcare.vn/wp-content/uploads/2020/02/dell-g3-3579-300x300.png,https://techcare.vn/san-pham/dell-g3-3579-core-i7/,Core i7-8750H,8GB,HDD 500GB + SSD 120GB,Nvidia GeForce GTX 1050 2GB,15.6 inch Full HD,99%,,,DELL
Dell inspiron 5577,11900000,https://techcare.vn/wp-content/uploads/2019/11/dell-inspiron-5577-1-300x300.png,https://techcare.vn/san-pham/dell-inspiron-5577/,Core i7-7700HQ,8GB,HDD 500GB + SSD 120GB,Nvidia GeForce GTX 1050 2GB,15.6 inch Full HD,99%,2.57kg,74 WHr,DELL
Dell Precision 3510,7200000,https://techcare.vn/wp-content/uploads/2020/02/dell-precision-3510-4-300x300.png,https://techcare.vn/san-pham/dell-precision-3510-core-i5/,Core i5-6300HQ,4GB,SSD 120GB,AMD FirePro W5130M,15.6 inch Full HD,99%,2.27kg,84 Wh,DELL
Dell Precision 3520,12400000,https://techcare.vn/wp-content/uploads/0201/04/dell-precision-3520-300x300.png,https://techcare.vn/san-pham/dell-precision-3520-i7/,Core i5-7300HQ,8GB,SSD 256GB,Nvidia Quadro M620,15.6 inch Full HD,99%,,"68 Wh Lithium-Ion, 4 cell",DELL
Lenovo Thinkpad P51,12800000,https://techcare.vn/wp-content/uploads/2018/04/lenovo-thinkpad-p51-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-p51/,Core i7-7700HQ,8GB,SSD 256GB,Nvidia Quadro M1200,15.6 inch Full HD,99%,,6 Cell,LENOVO
Dell Precision M5520,11500000,https://techcare.vn/wp-content/uploads/2018/04/dell-precision-m5520-300x300.png,https://techcare.vn/san-pham/dell-precision-m5520/,Core i7-6820HQ,8GB,SSD 256GB,Nvidia Quadro M1200M 4GB,15.6 inch Full HD,99%,1.77kg,6 Cell,DELL
Dell Precision 7710,10800000,https://techcare.vn/wp-content/uploads/2019/04/dell-precision-7710-1-300x300.png,https://techcare.vn/san-pham/dell-precision-7710/,Core i7-6820HQ,16GB,SSD 256GB,AMD FirePro W5170M,17.3 inch Full HD,99%,,6 Cells,DELL
