CPU,Display,Graphics,ImgURL,Name,Price,Ram,Status,Storage,URL
"
 i9-13900H
","16"" QHD 240Hz","
Nvidia RTX4060
",https://laptop88.vn/media/product/7978_4d158520_6c42_4f8b_8f4f_6f236fb50a44.png,[New 100%] Laptop ASUS ROG Flow X16 GV601VV NL016W - Intel Core i9-13900H | RTX4060 | 16 Inch QHD 240Hz,60.690.000 đ,16GB DDR5,New 100%,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-asus-rog-flow-x16-gv601vv-nl016w-intel-core-i9-13900h-rtx4060-16-inch-qhd-240hz.html
Snapdragon 8cx,"13.3"" FHD+",Qualcomm Adreno,https://laptop88.vn/media/product/7995_48923_lenovo_thinkpad_x13s_gen_1_qualcomm_snapdragon_8cx_gen_3_black_a4.gif, [New 100%] Laptop Lenovo ThinkPad X13s Gen 1 - Snapdragon 8cx Gen 3 | RAM 16GB | 512GB,Liên Hệ,16 GB ,,SSD 512GB,https://laptop88.vn/new-100-laptop-lenovo-thinkpad-x13s-gen-1-snapdragon-8cx-gen-3-ram-16gb-512gb.html
"
i5 11300H
","16"" QHD",MX 450,https://laptop88.vn/media/product/pro_poster_7998.jpg,[New Outlet] Laptop Lenovo IdeaPad 5 Pro 16IHU6 82L9006DUS - Intel i5 11300H | MX 450 | 16 Inch QHD,Liên Hệ,8GB DDR4,,SSD 512GB,https://laptop88.vn/new-outlet-laptop-lenovo-ideapad-5-pro-16ihu6-82l9006dus-intel-i5-11300h-mx-450-16-inch-qhd.html
Ryzen 7 Pro,"16"" WUXGA",RX 6500M,https://laptop88.vn/media/product/7997_lenovo_thinkpad_z16_amd_16_1.jpg,[New 100%] Laptop Lenovo ThinkPad Z16 - AMD Ryzen 7 PRO 6850H | 16GB | 1TB | RX 6500M | 16 inch WUXGA,Liên Hệ,16 GB ,,SSD 1TB,https://laptop88.vn/new-100-laptop-lenovo-thinkpad-z16-amd-ryzen-7-pro-6850h-16gb-1tb-rx-6500m-16-inch-wuxga.html
"
i9-13900H
","16"" QHD 240Hz","
Nvidia RTX4070
",https://laptop88.vn/media/product/7981_gu603zx_k8025w_5_600x600.jpg,[New 100%] Laptop Asus ROG Zephyrus M16 GU604VI-NM779W - Intel Core i9 - 13900H | RTX4070 | 16 Inch QHD 240Hz,75.990.000 đ,32GB DDR5,New 100%,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-asus-rog-zephyrus-m16-gu604vi-nm779w-intel-core-i9-13900h-rtx4070-16-inch-qhd-240hz.html
"
i3-1220P
","15.6"" FHD OLED","
Intel UHD Graphics
",https://laptop88.vn/media/product/8013_untitled_2.jpg,[New 100%] Laptop Asus VivoBook 15X OLED A1503ZA-L1150W - Intel Core i3 - 1220P | 15.6 Inch Full HD OLED,Liên Hệ,8GB DDR4,,SSD 256GB NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-15x-oled-a1503za-l1150w-intel-core-i3-1220p-15.6-inch-full-hd-oled.html
"
AMD R5-5600H
","15.6"" Full HD 144hz",RX5500M 4GB GDDR6,https://laptop88.vn/media/product/8002_7874_ac____new_100___laptop_msi_gaming_bravo_15_b5dd_275vn_2.jpg,[New Outlet] Laptop MSI Gaming Bravo 15 B5DD-417VN - AMD Ryzen 5 - 5600H | RX5500M 4GB | 15.6 Inch Full HD,Liên Hệ,8GB DDR4,,SSD 512GB NMVe,https://laptop88.vn/new-outlet-laptop-msi-gaming-bravo-15-b5dd-417vn-amd-ryzen-5-5600h-rx5500m-4gb-15.6-inch-full-hd.html
i5-1135G7,"15.6"" Full HD",Intel Iris Xe Grapchis,https://laptop88.vn/media/product/8017_7896_7716_7015_6904_dell_inspiron_15_3511_70270650_1.jpg,[New Outlet] Laptop Dell Inspiron 15 3511 R1605S - Intel Core i5 - 1135G7 | 15.6 Inch Full HD,14.590.000 đ,16GB DDR4,,SSD 512GB,https://laptop88.vn/new-outlet-laptop-dell-inspiron-15-3511-r1605s-intel-core-i5-1135g7-15.6-inch-full-hd.html
"
i7-12700H
","
16"" 4K 
","
RTX 3050Ti 4GB GDDR6
",https://laptop88.vn/media/product/8020_,[New 100%] Laptop ASUS VivoBook Pro 16X OLED N7600ZE L2010W - Intel Core i7-12700H | RTX 3050Ti | 16 Inch 4K,36.490.000 đ,16GB LPDDR5,,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-pro-16x-oled-n7600ze-l2010w-intel-core-i7-12700h-rtx-3050ti-16-inch-4k.html
"
i7 - 12700H
","
14"" Full HD IPS 144Hz
","
RTX 3050Ti 4GB
",https://laptop88.vn/media/product/8021_x14_7.jpg,[New Outlet] Laptop Dell Alienware X14 R1 - Intel Core  i7 - 12700H | RTX 3050Ti 4GB | 14 Inch Full HD 144Hz,34.990.000 đ,16GB LPDDR5,,SSD 512GB NVMe,https://laptop88.vn/moi-99-full-box-laptop-dell-alienware-x14-r1-intel-core-i7-12700h-rtx-3050ti-4gb-14-inch-full-hd-144hz.html
"
 i3-1220P
","14"" FHD IPS","
Intel Iris Xe
",https://laptop88.vn/media/product/8014_untitled_1.jpg,[New 100%] Laptop Asus Vivobook X1402ZA-EK098W - Intel Core i3 - 1220P | 14 Inch Full HD,Liên Hệ,8GB DDR4,,SSD 256GB NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-x1402za-ek098w-intel-core-i3-1220p-14-inch-full-hd.html
"
i7-12700H
","16.0"" QHD+",RTX3070Ti Max-Q 8GB,https://laptop88.vn/media/product/8025____nh_1.jpg,[New 100%] Laptop  MSI Creator Z16P B12UGST 044VN - Intel Core i7-12700H | RTX3070Ti Max-Q 8GB | 16 Inch QHD+,56.990.000 đ,32GB DDR5,,SSD 2TB NVMe,https://laptop88.vn/new-100-laptop-msi-creator-z16p-b12ugst-044vn-intel-core-i7-12700h-rtx3070ti-max-q-8gb-16-inch-qhd.html
"
 R7 - 7730U
","15.6"" FHD IPS",AMD Radeon Graphics,https://laptop88.vn/media/product/8026_untitled_1.jpg,[New 100%] Laptop  MSI Modern 15 B7M 098VN - AMD Ryzen 7 - 7730U | 15.6 Inch FHD IPS,15.990.000 đ,8GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-msi-modern-15-b7m-098vn-amd-ryzen-7-7730u-15.6-inch-fhd-ips.html
"
i5-12450H 
","15"" FHD 144Hz","
INVIDIA  GTX 1650
",https://laptop88.vn/media/product/8118_acer_aspire_7_2022_man.jpg,[New 100%] Laptop Acer Aspire 7 A715-76G-5132 | Intel Core i5-12450H | GTX 1650 4GB | 15.6 inch FHD 144Hz,20.690.000 đ,8GB DDR4,New 100%,SSD 512GB,https://laptop88.vn/new-100-laptop-acer-aspire-7-a715-76g-5132-intel-core-i5-12450h-gtx-1650-4gb-15.6-inch-fhd-144hz.html
"
R5 - 7530U
","15.6"" FHD IPS",AMD Radeon Graphics,https://laptop88.vn/media/product/8027_,[New 100%] Laptop MSI Modern 15 B7M 099VN - AMD Ryzen 5 - 7530U | 15.6 Inch FHD IPS,13.990.000 đ,8GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-msi-modern-15-b7m-099vn-amd-ryzen-5-7530u-15.6-inch-fhd-ips.html
"
i7-12700H
","
14.5"" 2.8K OLED
","
RTX 3050Ti 4GB GDDR6
",https://laptop88.vn/media/product/8019_2.jpg,[New 100%] Laptop Asus Vivobook Pro 14X OLED N7401ZE-M9028W - Intel Core i7 - 12700H | RTX 3050 Ti 4GB | 14.5 Inch 2.8K OLED,31.990.000 đ,16GB LPDDR5,,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-asus-vivobook-pro-14x-oled-n7401ze-m9028w-intel-core-i7-12700h-rtx-3050-ti-4gb-14.5-inch-2.8k-oled.html
"
 i9-13950HX
","16.0"" QHD+ 120Hz",Nvidia RTX4070 8GB,https://laptop88.vn/media/product/8030_untitled_1.jpg,[New 100%] Laptop MSI Creator Z16 HX Studio B13VGTO 062VN | Intel Core  i9-13950HX | RTX 4070 8GB | 16 Inch QHD+ 120Hz,81.990.000 đ,64GB DDR5,,SSD 2TB NVMe,https://laptop88.vn/new-100-laptop-msi-creator-z16-hx-studio-b13vgto-062vn-intel-core-i9-13950hx-rtx4070-8gb-16-inch-qhd-ips.html
"
R5-6600H
","15.6"" 144Hz","
Nvidia RX6600M
",https://laptop88.vn/media/product/7988_alpha_1.jpeg,[New 100%] Laptop Gaming MSI Alpha 15 B5EEK-203VN | AMD Ryxen 5-6600H | RX 6600M | 144Hz,20.990.000 đ,8GB DDR4,New 100%,SSD 512GB NMVe,https://laptop88.vn/new-100-laptop-gaming-msi-alpha-15-b5eek-203vn-amd-ryxen-5-6600h-rx-6600m.html
"
i9 - 12900H
","15.6"" 165Hz 100%sRGB",Nvidia RTX 3060 4GB,https://laptop88.vn/media/product/8120_,[New 100%] Laptop Acer Nitro 5 Tiger AN515-58-957R  - Intel Core i9 - 12900H | RTX 3060 4GB | 15.6 Inch Full HD 165Hz 100%sRGB,38.990.000 đ,16GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-acer-nitro-5-an515-58-957r-intel-core-i9-12900h-rtx-3060-4gb-15.6-inch-full-hd-165hz.html
"
 i5-1335U
","14""  Full HD",Intel Iris Xe Graphics,https://laptop88.vn/media/product/8122_asus_vivobook_14_4_jpg.png,[New 100%] Laptop Asus Vivobook 14 X1404VA-NK125W - i5-1335U | 14 inch Full HD,16.390.000 đ,8GB DDR4,New 100%,SSD 256GB ,https://laptop88.vn/new-100-laptop-asus-vivobook-14-x1404va-nk125w-i5-1335u-8gb-256gb-14-inch-full-hd.html
"
R5 - 7530U
","14"" FHD IPS",AMD Radeon Graphics,https://laptop88.vn/media/product/8028_,[New 100%] Laptop MSI Modern 14 C7M 083VN - AMD Ryzen 5 - 7530U | 14 Inch FHD IPS,13.690.000 đ,8GB DDR4,,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-msi-modern-14-c7m-083vn-amd-ryzen-5-7530u-14-inch-fhd-ips.html
AMD Ryzen™ 7 5800U,"14"" FHD 100% sRGB Touch","
AMD Radeon Vega
",https://laptop88.vn/media/product/8124_lenovo_yoga_slim_7_14acn6_82n7008vvn_1_.jpg,[New 100%] Laptop Lenovo Yoga Slim 7 14ACN6 82N7008VVN | AMD Ryzen 7-5800U | 14 inch Full HD Touch 100% sRGB,Liên Hệ,8GB LPDDR4x,,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-lenovo-yoga-slim-7-14acn6-82n7008vvn-amd-ryzen-7-5800u-14-inch-full-hd-touch.html
"
R9 - 7945HX
","16"" QHD+ 240Hz 100% DCI-P3",Geforce RTX 4080 12GB,https://laptop88.vn/media/product/8123_untitled_5.jpg,[New 100%] Laptop Gaming ASUS ROG Zephyrus Duo 16 GX650PZ-NM031W - AMD Ryzen 9 - 7945HX | RTX 4080 | 16 Inch QHD+,118.990.000 đ,32GB DDR5 ,New 100%,SSD 1TB NVMe,https://laptop88.vn/new-100-laptop-gaming-asus-rog-zephyrus-duo-16-gx650pz-nm031w-amd-ryzen-9-7945hx-rtx4080-16-inch-qhd.html
